Accession,Description,GeneName,Peptides,PSMs,AAs,MW.kDA,pI,QuantifyingPSMs,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
A0AV96,RNA-binding protein 47 OS=Homo sapiens GN=RBM47 PE=1 SV=2,RBM47,3,6,593,64.058,7.68,2,0.999,1.083,0.933,0.734,0.423,0.304,0.199,0.158,0.153,0.144
A0AVF1,Tetratricopeptide repeat protein 26 OS=Homo sapiens GN=TTC26 PE=2 SV=1,TTC26,27,56,554,64.136,6.93,26,0.999,0.975,0.79,0.566,0.365,0.184,0.096,0.061,0.076,0.082
A0AVT1,Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1,UBA6,147,705,1052,117.895,6.14,328,0.999,0.983,0.986,0.875,0.534,0.185,0.086,0.066,0.068,0.074
A0FGR8,Isoform 6 of Extended synaptotagmin-2 OS=Homo sapiens GN=ESYT2,ESYT2,23,54,942,104.643,9.33,23,0.999,0.983,0.881,0.768,0.608,0.39,0.205,0.123,0.088,0.086
A0JNW5,UHRF1-binding protein 1-like OS=Homo sapiens GN=UHRF1BP1L PE=1 SV=2,UHRF1BP1L,57,110,1464,164.095,6.32,47,0.999,0.989,0.98,0.931,0.715,0.422,0.171,0.1,0.097,0.093
A0MZ66,Shootin-1 OS=Homo sapiens GN=KIAA1598 PE=1 SV=4,KIAA1598,80,216,631,71.596,5.33,97,0.999,0.993,0.976,0.791,0.482,0.279,0.157,0.123,0.108,0.114
A1A4S6,Rho GTPase-activating protein 10 OS=Homo sapiens GN=ARHGAP10 PE=1 SV=1,ARHGAP10,1,3,786,89.318,7.18,2,0.999,1.033,0.938,0.899,0.683,0.429,0.314,0.223,0.158,0.149
A1KXE4,Myelin-associated neurite-outgrowth inhibitor OS=Homo sapiens GN=FAM168B PE=1 SV=1,FAM168B,3,4,195,20.311,9.23,4,0.999,1.064,1.054,0.963,0.913,0.681,0.597,0.471,0.45,0.425
A1L020,RNA-binding protein MEX3A OS=Homo sapiens GN=MEX3A PE=1 SV=1,MEX3A,2,4,520,54.139,7.27,1,0.999,0.903,0.748,0.719,0.573,0.389,0.304,0.273,0.278,0.239
A1L0T0,Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=1 SV=2,ILVBL,1,2,632,67.825,8.15,1,0.999,0.993,0.918,0.949,0.713,0.539,0.254,0.283,0.178,0.179
A1L170,Isoform 2 of Uncharacterized protein C1orf226 OS=Homo sapiens GN=C1orf226,C1orf226,15,31,315,33.671,5.68,9,0.999,1.058,1.058,0.971,0.786,0.535,0.333,0.213,0.168,0.169
A1L188,Uncharacterized protein C17orf89 OS=Homo sapiens GN=C17orf89 PE=2 SV=1,C17orf89,10,22,74,7.751,9.32,11,0.999,0.968,1.021,0.952,0.922,0.746,0.712,0.539,0.461,0.374
A1L390,Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens GN=PLEKHG3 PE=1 SV=1,PLEKHG3,11,18,1219,134.329,6.55,6,0.999,0.974,0.901,0.704,0.454,0.284,0.187,0.124,0.111,0.109
A1X283,SH3 and PX domain-containing protein 2B OS=Homo sapiens GN=SH3PXD2B PE=1 SV=3,SH3PXD2B,91,222,911,101.516,8.69,98,0.999,1.002,0.961,0.775,0.415,0.221,0.118,0.09,0.084,0.084
A2A274,"Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=2 SV=1",ACO2,138,918,805,87.765,7.37,421,0.999,0.965,0.988,0.874,0.538,0.181,0.079,0.06,0.065,0.071
A2A2Z9,Ankyrin repeat domain-containing protein 18B OS=Homo sapiens GN=ANKRD18B PE=2 SV=1,ANKRD18B,2,6,1011,118.156,8.15,1,0.999,1.203,1.308,1.169,0.983,0.609,0.514,0.653,0.968,1.119
A2A3N6,Putative PIP5K1A and PSMD4-like protein OS=Homo sapiens GN=PIPSL PE=5 SV=1,PIPSL,29,196,862,94.988,5.71,84,0.999,0.994,0.974,0.918,0.743,0.487,0.29,0.163,0.122,0.114
A2AEA2,"HLA class I histocompatibility antigen, Cw-14 alpha chain OS=Homo sapiens GN=HLA-C PE=3 SV=2",HLA,5,9,372,41.275,6.15,4,0.999,1.033,0.921,0.814,0.713,0.471,0.394,0.348,0.273,0.194
A2RRD8,Zinc finger protein 320 OS=Homo sapiens GN=ZNF320 PE=2 SV=1,ZNF320,4,8,509,59.288,8.91,1,0.999,0.853,0.768,0.529,0.583,0.449,0.364,0.323,0.278,0.279
A2RTX5,"Probable threonine--tRNA ligase 2, cytoplasmic OS=Homo sapiens GN=TARSL2 PE=1 SV=1",TARSL2,48,106,802,92.586,6.05,39,0.999,0.996,0.93,0.784,0.546,0.275,0.128,0.084,0.078,0.089
A2RU49,Hydroxylysine kinase OS=Homo sapiens GN=AGPHD1 PE=1 SV=2,AGPHD1,4,8,373,41.906,6.84,3,0.999,0.92,0.918,0.779,0.57,0.249,0.121,0.079,0.078,0.086
A2RUB1,Uncharacterized protein C17orf104 OS=Homo sapiens GN=C17orf104 PE=2 SV=3,C17orf104,1,2,952,107.491,7.12,1,0.999,0.793,0.728,0.529,0.383,0.299,0.304,0.293,0.208,0.179
A2RUC4,tRNA wybutosine-synthesizing protein 5 OS=Homo sapiens GN=TYW5 PE=1 SV=1,TYW5,29,56,315,36.525,7.55,26,0.999,1.004,1.023,0.971,0.865,0.649,0.392,0.219,0.124,0.117
A2VDF0,Fucose mutarotase OS=Homo sapiens GN=FUOM PE=1 SV=2,FUOM,4,8,154,16.754,5.58,3,0.999,1.086,1.008,1.049,0.99,0.749,0.524,0.409,0.381,0.356
A3KMH1,von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8 PE=1 SV=2,VWA8,99,194,1905,214.689,7.4,91,0.999,0.96,0.826,0.607,0.395,0.2,0.093,0.08,0.078,0.081
A3KN83,Protein strawberry notch homolog 1 OS=Homo sapiens GN=SBNO1 PE=1 SV=1,SBNO1,85,199,1393,154.216,7.88,88,0.999,1.063,1.014,0.966,0.625,0.236,0.111,0.08,0.075,0.08
A4D0S4,Laminin subunit beta-4 OS=Homo sapiens GN=LAMB4 PE=2 SV=1,LAMB4,2,2,1761,193.413,6.35,1,0.999,0.943,0.988,0.949,0.803,0.589,0.564,0.433,0.408,0.339
A4D104,HCG19535 OS=Homo sapiens GN=LOC401307 PE=2 SV=1,LOC401307,4,4,137,15.19,4.48,2,0.999,1.013,1.198,0.959,0.823,0.539,0.434,0.353,0.278,0.259
A4D126,Isoprenoid synthase domain-containing protein OS=Homo sapiens GN=ISPD PE=1 SV=2,ISPD,6,11,451,49.841,6.25,6,0.999,1,1.041,0.932,0.853,0.625,0.564,0.439,0.394,0.339
A4D1E1,Zinc finger protein 804B OS=Homo sapiens GN=ZNF804B PE=2 SV=2,ZNF804B,2,2,1349,152.477,8.54,2,0.999,1.133,0.988,0.789,0.473,0.229,0.124,0.093,0.078,0.069
A4D1E9,GTP-binding protein 10 OS=Homo sapiens GN=GTPBP10 PE=1 SV=1,GTPBP10,26,51,387,42.906,9.03,22,0.999,0.968,0.726,0.389,0.291,0.139,0.074,0.063,0.068,0.081
A4D1P6,Isoform 2 of WD repeat-containing protein 91 OS=Homo sapiens GN=WDR91,WDR91,30,58,636,71.307,7.31,28,0.999,1.025,0.923,0.728,0.353,0.204,0.109,0.082,0.096,0.099
A4D1S0,Killer cell lectin-like receptor subfamily G member 2 OS=Homo sapiens GN=KLRG2 PE=1 SV=3,KLRG2,13,24,409,42.823,5.87,10,0.999,0.999,0.996,0.933,0.891,0.721,0.516,0.374,0.254,0.208
A4D1U4,Protein LCHN OS=Homo sapiens GN=LCHN PE=2 SV=1,LCHN,4,8,455,51.413,5.31,4,0.999,1.054,0.969,0.994,0.679,0.51,0.341,0.146,0.101,0.121
A4D1W8,"Ependymin related protein 1 (Zebrafish), isoform CRA_b OS=Homo sapiens GN=UCC1 PE=4 SV=1",UCC1,4,7,344,38.126,9.58,3,0.999,1.036,0.998,0.896,0.73,0.629,0.528,0.526,0.591,0.506
A4D212,DKFZP586J0619 protein OS=Homo sapiens GN=DKFZP586J0619 PE=2 SV=1,DKFZP586J0619,21,44,2394,265.588,6.68,22,0.999,1.013,0.803,0.662,0.423,0.258,0.188,0.152,0.127,0.139
A5D8V6,Vacuolar protein sorting-associated protein 37C OS=Homo sapiens GN=VPS37C PE=1 SV=2,VPS37C,10,24,355,38.635,5.21,11,0.999,0.996,0.987,0.791,0.589,0.285,0.155,0.113,0.117,0.099
A5PL33,Protein KRBA1 OS=Homo sapiens GN=KRBA1 PE=1 SV=3,KRBA1,1,3,1030,107.431,7.83,1,0.999,1.083,1.028,0.979,0.873,0.679,0.384,0.263,0.228,0.309
A5PLL1,Ankyrin repeat domain-containing protein 34B OS=Homo sapiens GN=ANKRD34B PE=2 SV=3,ANKRD34B,1,2,514,56.379,7.71,1,0.999,0.973,1.038,0.979,0.753,0.449,0.284,0.243,0.178,0.149
A5YKK6,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2,CNOT1,158,418,2376,266.768,7.11,195,0.999,1.077,0.949,0.893,0.497,0.227,0.125,0.096,0.086,0.095
A6H8Y1,Transcription factor TFIIIB component B'' homolog OS=Homo sapiens GN=BDP1 PE=1 SV=3,BDP1,3,7,2624,293.705,5.11,3,0.999,0.983,0.948,0.839,0.713,0.499,0.324,0.313,0.238,0.199
A6H8Z2,Isoform 3 of Protein FAM221B OS=Homo sapiens GN=FAM221B,FAM221B,1,1,340,36.864,4.81,1,0.999,0.863,0.778,0.799,0.623,0.399,0.274,0.213,0.198,0.179
A6NCE0,Forkhead box protein O6 OS=Homo sapiens GN=FOXO6 PE=4 SV=1,FOXO6,2,4,559,58.464,11.11,1,0.999,1.013,0.948,0.839,0.593,0.189,0.074,0.083,0.078,0.089
A6NCE7,Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens GN=MAP1LC3B2 PE=2 SV=1,MAP1LC3B2,14,35,125,14.619,8.68,14,0.999,1.017,1.021,0.884,0.719,0.469,0.255,0.166,0.144,0.114
A6NCI4,von Willebrand factor A domain-containing protein 3A OS=Homo sapiens GN=VWA3A PE=2 SV=3,VWA3A,1,1,1184,133.935,8.46,1,0.999,0.943,1.058,0.839,0.613,0.409,0.314,0.203,0.188,0.129
