Accession,Description,GeneName,Peptides,PSMs,AAs,MW.kDA,pI,QuantifyingPSMs,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
A0AV96,RNA-binding protein 47 OS=Homo sapiens GN=RBM47 PE=1 SV=2,RBM47,6,12,593,64.058,7.68,6,0.992,0.969,0.656,0.468,0.373,0.284,0.22,0.154,0.163,0.115
A0AVF1,Tetratricopeptide repeat protein 26 OS=Homo sapiens GN=TTC26 PE=2 SV=1,TTC26,2,4,554,64.136,6.93,2,0.992,0.826,0.543,0.467,0.353,0.248,0.185,0.104,0.109,0.072
A0AVT1,Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1,UBA6,109,378,1052,117.895,6.14,173,0.992,0.991,0.906,0.777,0.455,0.216,0.154,0.1,0.101,0.067
A0FGR8,Isoform 6 of Extended synaptotagmin-2 OS=Homo sapiens GN=ESYT2,ESYT2,7,18,942,104.643,9.33,8,0.992,0.962,0.812,0.57,0.464,0.283,0.215,0.144,0.145,0.112
A0JNW5,UHRF1-binding protein 1-like OS=Homo sapiens GN=UHRF1BP1L PE=1 SV=2,UHRF1BP1L,33,65,1464,164.095,6.32,26,0.992,1.002,0.912,0.814,0.653,0.494,0.298,0.179,0.137,0.11
A0MZ66,Shootin-1 OS=Homo sapiens GN=KIAA1598 PE=1 SV=4,KIAA1598,138,574,631,71.596,5.33,266,0.992,0.964,0.907,0.642,0.401,0.263,0.198,0.138,0.116,0.081
A0PJE2,Dehydrogenase/reductase SDR family member 12 OS=Homo sapiens GN=DHRS12 PE=1 SV=2,DHRS12,1,1,317,35.124,7.34,1,0.992,1.746,1.203,1.557,1.313,0.968,1.295,0.794,0.479,1.072
A1A4S6,Rho GTPase-activating protein 10 OS=Homo sapiens GN=ARHGAP10 PE=1 SV=1,ARHGAP10,8,17,786,89.318,7.18,6,0.992,0.976,0.818,0.702,0.538,0.313,0.21,0.159,0.139,0.117
A1KXE4,Myelin-associated neurite-outgrowth inhibitor OS=Homo sapiens GN=FAM168B PE=1 SV=1,FAM168B,4,4,195,20.311,9.23,4,0.992,0.949,0.883,0.807,0.731,0.613,0.505,0.451,0.337,0.437
A1L0T0,Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=1 SV=2,ILVBL,1,2,632,67.825,8.15,1,0.992,1.076,0.913,0.927,0.603,0.378,0.345,0.244,0.189,0.382
A1L170,Isoform 2 of Uncharacterized protein C1orf226 OS=Homo sapiens GN=C1orf226,C1orf226,2,3,315,33.671,5.68,1,0.992,1.016,0.913,0.857,0.773,0.648,0.425,0.304,0.179,0.162
